Name,Type,asset_type,maintain_customer,comments,it_owner,business_owner,customer,product_supplier,product_vendor,vendor_support,business_process,criticality,known_risks,dr,parent_system,description,technologies,pace_layer,tq_fq_quadrant,strategy_support,initiatives,roadmap_2016,roadmap_2018,notes
Voyager,component,desktop_system,,,,,,,,,"During crisis, implement relief package for Business and Retail Customers ",tier_2,,,,"This application is used to import the Western Union transaction file for reconciliation. The file is transferred from Western Union via this web tool. This is done first thing in the morning, Monday to Friday.
 
The International team send a file of transactions to the Settlements team to make Payments to Western Union",,sor,keep,,,,,
Visa Processing System,external,actor,,,,,,,,,,tier_2,,,,"VPS is an outsourced card processing platform from Visa Processing Systems. It is used by Kiwibank and NZ Post, along with other retail customers, to provide various types of prepaid Visa cards to customers.  This is a web-based storage system for pdf copies of applications and supporting documentation.

At the same time as scanning the paper applications Datamail capture the relevant customer details, using a combination of automated OCR and manual data entry techniques.

This information is then placed into a CSV file which Kiwibank collects off Datamail’s lightning server four times a day and then processes through BizTalk, middleware and into Activate. (Datamail Consumer Credit Card Application Loading process).
VRetrieve URL is:https://kiwibank.datamail.co.nz
The production BizTalk server is FSWNDNTBIZ01. This currently submits CC applications to the 10.4.1.93 middleware server. This server is then linked to ActivateKB via the Activate Process Manager Web Service.",,sor,keep,,,,,
Websign,component,system_component,,,,,,,,,,tier_1,,,Internet Banking,"Web-based application, access via links in IB, to allow online signing of home loan documents. Provided by FMS.",,sod,replace,,,,,
Western Union - Reconciliation,external,actor,,,,,,,,,Keeping critical Post Shops open for KB transactions,tier_2,,,," This system is used to reconcile WU transactions with Postshops.
Its an Access Db that compares files from Postshops with those from WU.
 
Staff print reports that lists discrepancies between the two and investigate the anomalies.
 
Files are received from NZ Post via email (Terry Driskel) and from WU via Voyager. ",,sor,replace,,,,,
WestpacAUD,external,actor,,,,,,,,,,tier_2,,,,This is Westpac's web-based banking system. The Settlements team use it for reconciliation and position keeping.,,sor,keep,,,,,
Xero,external,actor,,,,,,,,,,tier_2,,,,"Xero is a online business accounting system for small to medium sized businesses. Businesses sign up with Xero to enable Xero to access a nominated account to view their transactions.
KB customer signs up with Xero. Xero forward registration form to KB (email; WinZip encryption). KB operator uses ASP .NET registration application C3PO (Connect 3rd Party Organisations) (http://collaborate/sites/SupportServices/ThirdPartyExports/default.aspx) to register customer's accounts for transaction export service.

Transactions for registered accounts are pushed to Xero following daily processing (average 4am) via encrypted VPN.",,sod,keep,,,,,
Text Banking,system,lob_application,,,,,,,,,"",tier_2,,,"","","",sor,replace,"","","","",""
Automated Rate ChangeSystem,not_determined,,,,,,,,,,,,,,,Update TD & Loan Interest rates by the Business into Ultracs; System component; out-of-scope,Sharepoint Application,,,,,,,
Bulk VDC Reissue,not_determined,,,,,,,,,,,,,,,Bulk reissuing of VDC primarily during Large compromised card issues System component; out-of-scope,Sharepoint Application,,,,,,,
Core Services,not_determined,,,,,,,,,,,,,,,Can’t access out-of-scope,Sharepoint Application,,,,,,,
CX Insights,not_determined,,,,,,,,,,,,,,,Can’t access out-of-scope,Sharepoint Application,,,,,,,
Datamail,not_determined,,,,,,,,,,,,,,,Datamail exceptions report; first time Doug heard of it out-of-scope,Sharepoint Application,,,,,,,
Direct Channels,not_determined,,,,,,,,,,,,,,,Can’t access out-of-scope,Sharepoint Application,,,,,,,
HL Customer Documentation,not_determined,,,,,,,,,,,,,,,Can’t access out-of-scope,Sharepoint Application,,,,,,,
IT Alerts,not_determined,,,,,,,,,,,,,,,Major Incidnet and Channel outage notifications IT Operations out-of-scope,Sharepoint Application,,,,,,,
IT Payments,not_determined,,,,,,,,,,,,,,,Can’t access out-of-scope,Sharepoint Application,,,,,,,
Kapai,not_determined,,,,,,,,,,,,,,,Can’t access out-of-scope,Sharepoint Application,,,,,,,
LRM,not_determined,,,,,,,,,,,,,,,Can’t access out-of-scope,Sharepoint Application,,,,,,,
MAC Form,not_determined,,,,,,,,,,,,,,,MAC request management  Out-of-Scope,Sharepoint Application,,,,,,,
Prepaid Card,not_determined,,,,,,,,,,,,,,,Process Prepaid card exceptions out-of-scope; system component,Sharepoint Application,,,,,,,
Procurement,not_determined,,,,,,,,,,,,,,,Stock management? Procurement inventory Out-of-scope,Sharepoint Application,,,,,,,
ProcurementPortal,not_determined,,,,,,,,,,,,,,,I got access denied but this is a support service so let’s put this out-of-scope for now,Sharepoint Application,,,,,,,
Reloadable,not_determined,,,,,,,,,,,,,,,"Process reloaded exceptions
 System component of VPS; out-of-scope",Sharepoint Application,,,,,,,
Swift Repair Portal,not_determined,,,,,,,,,,,,,,,International payment exceptions processing; System component; out-of-scope,Sharepoint Application,,,,,,,
3dSecure,system_component,enterprise_application,n/a,,Application Development,COO~ Payment Services ,Payments Services,EMC,,Complete,,tier_2,,high,,,,,,,,,,
AmbitFocus,reporting_system,enterprise_application,n/a,,Wholesale Application Delivery,Business Markets~ Financial Markets,Treasury,SunGard,SunGard,Complete,Bank Liquidity Management (incl. Cash Forecasting & Funding),unknown,Not fit for purpose,,,,,,,,,,,
Ask Me,system,enterprise_application,N,,Application Development,COO~ Enterprise Information,Personal Markets~ Customer Service Experience,N/A,N/A,,,tier_1,,,,,,,,,,,,
ATMPro,system,enterprise_application,N,,Application Development,COO~ Payment Services ,Payments Services,ProfitStars,Unknown,,ATM Cash Management,tier_1,,,,,,,,,,,,
Banklink,actor,enterprise_application,n/a,,Application Development,COO~ Payment Services ,Personal Markets,Banklink,Banklink,,,tier_2,,,,,,,,,,,,
Biztalk,platform,enterprise_application,n/a,,Application Development,COO~ Information Technology,Payments Services~ Retail,Microsoft,IBM (tbc),Complete,Make Visa Payments (daily),tier_1,,,,,,,,,,,,
Blackpearl,platform,enterprise_application,n/a,,Application Development,Personal Markets~ Customer Service Experience,COO~ Information Technology,K2,Venter Consulting Ltd,Complete,,unknown,,,,,,,,,,,,
Bloomberg,actor,enterprise_application,n/a,,Wholesale Application Delivery,Business Markets~ Financial Markets,Business Markets (Financial Markets),Bloomberg,Bloomberg,Complete,Bank Liquidity Management (incl. Cash Forecasting & Funding),tier_1,,,,,,,,,,,,
Behavioural Scoring,system,enterprise_application,Y,,Application Development,Risk Management~ Portfolio Analytics,Risk Management,N/A,N/A,,,tier_2,,,,Database rules engine for 'scoring' customers from a risk~ and behavioural viewpoint,,,,,,,,
PROactive Reconciliation and Investigation ,n/a,enterprise_application,n/a,,Application Development,COO~ Enterprise Operations ,Enterprise Operations,Broadridge,Broadridge,,Reconciliation of Accounts,unknown,,,,,,,,,,,,
CallManager,system_component_(may_be_an_actor),enterprise_application,n/a,,N/A,Personal Markets~ Customer Service Experience,COO,Gen-i,Gen-i,,,tier_1,,,,,,,,,,,,
CaseBook,system,enterprise_application,Y,Sharepoint Application,Application Development,Risk Management~ Organisational Resilience,Risk Management,N/A,N/A,,Monitoring for Fraud,tier_2,,,,,,,,,,,,
Cognos,reporting_platform,enterprise_application,n/a,,Technology Operations,COO~ Enterprise Information,Personal Markets~ Business Markets,CDP (part of IBM),CDP (part of IBM),Complete,Bank Liquidity Management (incl. Cash Forecasting & Funding),tier_2,,,,,,,,,,,,
CompaniesOffice,actor,enterprise_application,n/a,,N/A,Business Markets~ Distribution,Unknown,NA,N/A,,,unknown,,,,,,,,,,,,
ComplianceLink,system_component,enterprise_application,n/a,Component of Swift and Int'l Desktop Application,Application Development,Risk Management~ Organisational Resilience,Risk Management,Accuity,Accuity,,,tier_1,,,,,,,,,,,,
CreditManagement,system,enterprise_application,Y,Loan application data are uploaded to this system.,Application Development,Risk Management~ Retail Credit,Enterprise Operations,IT,IT,,used for hindsighting and quality reporting for lending ( from Activate ),tier_2,,low,,,,,,,,,,
CRM Prompts,system_component,enterprise_application,n/a,,Application Development,COO~ Data Driven Marketing,Personal Markets~ Business Markets,NA,N/A,,Administer changes to Insurance policies~ raise premiums~ process dishonours~ cancellations etc.,tier_2,,,,,,,,,,,,
Daon,?,enterprise_application,,May be used to store escrow agreements http://www.daon.com/,Application Development,COO~ Information Technology,Unknown,Software Escrow Guardians Ltd,Software Escrow Guardians Ltd,Complete,,unknown,,,,,,,,,,,,
DMO,?,enterprise_application,,No information available,N/A,Personal Markets ,Unknown,,,,During crisis~ implement relief package for Business and Retail Customers ,unknown,,,,,,,,,,,,
DocCollect,?,enterprise_application,,No information available,N/A,Business Markets~ Financial Markets,Unknown,Citibank,Citibank,,"Process existing Trade Finance  requests  - Loans and Letters of Credit (lcs) 

*NZ Post Payover*",tier_2,,,,,,,,,,,,
DocManager,system_component_or_platform,enterprise_application,n/a,A scanning management tool used by Support Services.,Decommisioned,COO,Unknown,IT,IT,,,tier_2,,,,,,,,,,,,
Docushare,actor,enterprise_application,n/a,,N/A,COO~ Enterprise Operations ,Unknown,FMS,FMS,,,tier_2,,,,,,,,,,,,
E2trains,n/a,enterprise_application,n/a,,Unknown,Finance,Unknown,e2Train Limited,,,,unknown,,,,,,,,,,,,
Electronic Dishonour Database (EDD),system,enterprise_application,Y,,Application Development,COO~ Enterprise Operations ,Unknown,IT,IT,,During crisis~ implement relief package for Business and Retail Customers.,tier_2,,,,,,,,,,,,
EnterpriseTelephony,actor,enterprise_application,n/a,,N/A,COO~ Information Technology,Unknown,,,,Assess~ Authorise & Pay claims for Kiwi Insurance.,tier_1,,,,,,,,,,,,
ESAS-RTGS,actor,enterprise_application,n/a,ESAS is the Reserve Bank of New ZealandÕs Exchange Settlement Account System and along with Real-Time Gross Settlement (RTGS) allows individual transactions between financial institutions to be settled electronically as the transactions happen.,Wholesale Application Delivery,Business Markets~ Financial Markets,Business Markets (Financial Markets),Reserve Bank of NZ,RBNZ,Complete,Bank Liquidity Management (incl. Cash Forecasting & Funding),tier_1,,,,,,,,,,,,
E-Text,?,enterprise_application,,No information available,N/A,COO~ Enterprise Operations ,Unknown,NA,N/A,,,unknown,,,,,,,,,,,,
Eunexus,actor,enterprise_application,n/a,,Unknown,Risk Management,Unknown,Eunexus Pty Ltd,Eunexus Pty Ltd,,,unknown,,,,,,,,,,,,
Financial Crime Risk Management System (FCRM),system,enterprise_application,Y,,Application Development,Risk Management~ Organisational Resilience,Risk Management,Fiserv,Fiserv,,"Deal Execution (including booking & bill trading)

*Funds Management*",tier_2,,,,,,,,,,,,
FileSharing,system_component,enterprise_application,n/a,No information available,Technology Operations,Business Markets,Unknown,,,,During crisis~ implement relief package for Business and Retail Customers ,unknown,,,,,,,,,,,,
FinMetrics,?,enterprise_application,?,No information available,Wholesale Application Delivery,Business Markets~ Financial Markets,Unknown,TIBCO Software Inc,TIBCO Software Inc,,,unknown,,,,,,,,,,,,
Fusion,?,enterprise_application,?,No information available,Unknown,Unknown,Unknown,,,,,unknown,,,,,,,,,,,,
GE-Q Special Answers,system_component,enterprise_application,n/a,Specials Answers are for customers who have asked for a cheque to be cleared. When a customer requests a Special Answer~ the branch will complete a special answer form and fax it~ with a copy of the cheque~ to Support Services who will input the details into the automated Special Answer system then forward the request to the paying bank. GQ Special Answer is the desktop application where the details are entered. Staff can view the request and enter details of the account etc.,Technology Operations,COO~ Enterprise Operations ,Unknown,IT,IT,,,tier_2,,,,,,,,,,,,
gRobot,system_component,enterprise_application,n/a,,Technology Operations,COO~ Enterprise Operations ,Unknown,IT,IT,,,tier_2,,,,,,,,,,,,
Hotlink,actor,enterprise_application,n/a,,N/A,Unknown,Unknown,Vodafone,Vodafone,,,tier_2,,,,,,,,,,,,
HSM8-SE Units,infrastructure_component,enterprise_application,n/a,,Unknown,Unknown,Unknown,,,,,unknown,,,,,,,,,,,,
Imprint,system_component,enterprise_application,n/a,Component of EDS. Web-based application that enables users to view cheque images. Users log into EDS and view cheque images held by EDS. Images are not held locally. Currently 16 users.,N/A,COO~ Enterprise Operations ,Unknown,HP,HP,,During crisis~ implement relief package for Business and Retail Customers ,tier_2,,,,,,,,,,,,
International Middleware,platform_component,enterprise_application,n/a,,Wholesale Application Delivery,COO~ Payment Services~ Business Markets Treasury and Intl Operations,COO~ Payment Services~ Business Markets Treasury and Intl Operations,IT,IT,,,tier_1,,,,,,,,,,,,
Intranet,system,enterprise_application,N,,Application Development,People and Business Services~ Communications,Unknown,IT,IT,,Coordination of Crisis Management  Function during Crisis                ,tier_2,,,,,,,,,,,,
Jadestar,desktop_application,enterprise_application,n/a,,N/A,People and Business Services~ HR Information Systems,Unknown,Jade Software,Jade Software,,Evacuate all persons in the building and account for staff and visitors,tier_2,,,,,,,,,,,,
JPMorgan,actor,enterprise_application,n/a,"Web browser application from JP Morgan that enables the Settlements team to send trade instructions and generate reports.
",Wholesale Application Delivery,Business Markets~ Financial Markets,Business Markets (Financial Markets),JPMorgan,JPMorgan,,,tier_2,Internet dependence,,,,,,,,,,,
K2,platform,enterprise_application,n/a,,Application Development,Personal Markets~ Customer Service Experience,Unknown,K2,Datacom,,Telephone/Online Enquiries,tier_2,,,,,,,,,,,,
Kofax,platform,enterprise_application,n/a,,Application Development,COO~ Enterprise Operations ,Unknown,Kofax,Datcom,,,unknown,,,,,,,,,,,,
Lexlegal,system,enterprise_application,Y,"LEX Legal Suite is matter management system (provided by LEX~ an Australian company) that allows the Kiwibank Legal Team to:
- Capture and share the main details of each matter~ such as name~ work type~ client~ background and contacts
 - Track information about each matter~ such as file notes~ reminders~ invoices and time
 - Generate a wide variety of reports~ such as monthly reports and analyses of spending with law firms

",N/A,Legal,Unknown,LEX,Datacom,,,tier_2,,,,,,,,,,,,
Mastercard,actor,enterprise_application,n/a,,Application Development,COO~ Payment Services ,Unknown,Mastercard,Mastercard,,,tier_2,,,,,,,,,,,,
MIS,?,enterprise_application,?,No information available,Unknown,Business Markets,Unknown,,,,"Deal Execution (including booking & bill trading)

*Funds Management*",unknown,,,,,,,,,,,,
Move-Peripheral,?,enterprise_application,?,No information available,Unknown,Unknown,Unknown,,,,,unknown,,,,,,,,,,,,
Move-Printers,?,enterprise_application,?,No information available,Unknown,Unknown,Unknown,,,,,unknown,,,,,,,,,,,,
Move-Server,?,enterprise_application,?,No information available,Unknown,Unknown,Unknown,,,,,unknown,,,,,,,,,,,,
Multi Purpose Transactions (MPT),desktop_application,enterprise_application,n/a,,Technology Operations,COO~ Enterprise Operations ,Unknown,IT,IT,,Daily Settlements,tier_2,,,,,,,,,,,,
NCC,?,enterprise_application,?,No information available,Unknown,Unknown,Unknown,,,,,unknown,,,,,,,,,,,,
NzClear,actor,enterprise_application,n/a,,Wholesale Application Delivery,Business Markets~ Treasury and Intl Operations,Unknown,Reserve Bank of NZ,Reserve Bank of NZ,Complete,Collateral Management,tier_1,,,,,,,,,,,,
OBRProcessing,n/a,enterprise_application,n/a,"Open Bank Resolution is a Reserve Bank initiative designed to open the bank for business on the next business day after its temporary closure following an insolvency event or an event that triggered putting it under statutory management.  The bank will be able to provide customers with full or partial access to their accounts and other bank services with little interruption.
During the temporary closure~ customersÕ accounts may be frozen and the Statutory Manager will determine the funds required to meet the bankÕs obligations to the industry.  This amount will be transferred to accounts under the control of the Statutory Manager and the remainder then unfrozen and available to customers the following day.
A condition of registration as a bank (from June 2013) is to be pre-positioned for this funds freeze event if it is required.

Components and Functionality
The OBR process brings together existing functionality~ updates to existing extracts to add additional transaction information and the development of a database. This database~ Tabatha~ will store the extracted transaction information~ calculate funds freeze values and provide update files to the different transaction systems.
",Application Development,Risk Management,Unknown,IT,IT,,,tier_1,,,,,,,,,,,,
OnlineSecurity,?,enterprise_application,?,No information available,Unknown,Unknown,Unknown,,,,,unknown,,,,,,,,,,,,
Outlook,platform,enterprise_application,n/a,,Technology Operations,COO~ Information Technology,Unknown,,,,"Deal Execution (including booking & bill trading)

*Funds Management*",unknown,,,,,,,,,,,,
Prepaid Application Processing System  (PAPS),system,enterprise_application,Y,"Kiwibank Payment Services offer a range of prepaid card products:
The Prezzy VISA card is a non-embossed prepaid card that is accepted electronically at all VISA merchants.  Unlike a credit card it must have a credit balance before the customer can use the card. 
The Loaded VISA card is a non-embossed personalised prepaid card that is accepted at all electronic VISA merchants. As with the Prezzy Card and unlike a credit card~ the Loaded card must have a credit balance before it can be used; this card can be reloaded with additional funds over the life of the card.
Note: See VPS under Related Systems which is the new prepaid cards platform for newly issued Prezzy and Loaded cards (from Dec 2011)~ and for all Loaded for Travel and Christmas Visa cards.

PAPS is the repository where application data goes into; Prezzy cards do not feed into PAPS only loaded cards.PAPS selects the status of the application dependant on application information such as identification provided and fees paid.  Once an application is in a particular status~ the application will go to eFunds who return information whether an account has been created or not.

There are three sources for applications (for new Loaded cards~ addition of new cardholders) that exist for PAPS:

Datamail 
Secure Website (https://www.loadedcard.co.nz/) 
Manually directly into PAPS by the Payment Services~ Service Delivery Team
Processing of applications (new~ additional~ supplementary (identification checks)~ website and Sharepoint maintenance) all occur through the web services layer.  As part of the Change Management process~ any changes to PAPS must be flowed into MIS.



",Application Development,COO~ Payment Services ,Unknown,IT,IT,,,tier_2,,,,,,,,,,,,
Pharos,actor,enterprise_application,N,Pharos is the internal name given to the NZ Post shared services Financial Management Information System (FMIS) that is used across the NZPost group.,N/A,Finance~ Shared Accounting,Unknown,Oracle,Oracle,,General Ledger,tier_2,,,,,,,,,,,,
Pluralsight,?,enterprise_application,?,No information available,Application Delivery,COO,Unknown,Pluralsight,Pluralsight,,,unknown,,,,,,,,,,,,
Postilion Office,reporting_system,enterprise_application,n/a,Postilion Office supports reconciliation & management functions by retrieving data from the Postilion Real-time database and organising it so that complex queries can be run,Application Development,COO~ Payment Services ,COO,ACI Worldwide Inc,ACI Worldwide Inc,,Assess~ Authorise & Pay claims for Kiwi Insurance.,tier_2,,,,,,,,,,,,
PrimeClear,actor,enterprise_application,n/a,"PrimeClear is Credit Suisse First Boston (CSFB) web-based system that provides access to information on transactions~ positions and margin balances.
 
It allows customers to monitor their trades and settlements within a real-time environment~ receive immediate confirmation of transactions and instantly project their cash requirements.
 
The Settlements team use it to monitor the dealer's position.",Wholesale Application Delivery,Business Markets~ Financial Markets,Business Markets (Financial Markets),Credit Suisse,Credit Suisse,,,tier_2,,,,,,,,,,,,
PrimeTrade,actor?,enterprise_application,n/a,PrimeTrade is a web-based system that customers use to buy and sell futures (the sale of financial Instruments or physical commodities for future delivery on a commodity exchange).,Wholesale Application Delivery,Business Markets~ Financial Markets,Business Markets (Financial Markets),Credit Suisse,Credit Suisse,Complete,Futures Trading,tier_2,Internet dependence,,,,,,,,,,,
Proactive Risk Manager  (PRM),system_component,enterprise_application,n/a,Component of the Fraud Detection System,Application Development,Risk Management~ Organisational Resilience,Unknown,Software Escrow Guardians Ltd,Software Escrow Guardians Ltd,Complete,Monitoring for Fraud,tier_2,,,,,,,,,,,,
Proactive,system_component,enterprise_application,n/a,,Application Development,COO~ Enterprise Operations ,Unknown,,,,Reconciliations,tier_2,,,,,,,,,,,,
ProfitStars,actor,enterprise_application,n/a,Third party (financial management??) application Managed by IT Payments~ and used by the Distribution ATM Team. Application used for cash tracking/stocking levels in the ATMs as well as balancing cash through the machines. Also provides a asset manager faunction the the ATM fleet.,Application Development,COO~ Payment Services ,Unknown,ProfitStars,,,,tier_2,,,,,,,,,,,,
Prognosis,?,enterprise_application,?,No information available,Application Development,COO~ Payment Services ,Unknown,Integrated Research Ltd,Integrated Research Ltd,Complete,,unknown,,,,,,,,,,,,
Prosper,system,enterprise_application,Y,"Third party CRM software. Used to create customer notes and contact details. Used by call centres for letter generation.
DS use prosper for three key functions:
Letters 
outbound call queues (managed by Steve Young) 
Solveit~ logging customer queries for Support  services to action
Used by Lending Operations for letters and customer notes.
 
Prosper is dependent on kbpdshares01 for document storage (attachments to notes) - Call Centre Problem Escalation and Letters.",Application Development,Personal Markets~ Customer Service Experience,Unknown,Prosper Business Solutions,Ultradata,,Process Settlement Exceptions,tier_2,,,,,,,,,,,,
Proview,system,enterprise_application,N,"Proview is an ATM Monitoring application that enables Kiwibank to monitor its ATM network for any hardware and/or software failures as well as remotely upload and download files to these ATMs.

It receives an update of card files from the Data Warehouse (debit cards) and from FDS (credit cards).
",Application Development,COO~ Payment Services ,Unknown,Wincor Nixdorf,,,ATM Cash Management,tier_2,,,,,,,,,,,,
Pulse,system_component,enterprise_application,n/a,"Pulse is an 'off the shelf' solution provided by Datacom~ built on Microsoft Silverlight v4. It provides the task management User Interface that Secure Mail is built on Ð effectively the ÔinboxÕ for secure mails.

Secure Mail also uses the Pulse ÒAct On Behalf OfÓ capability to allow users to cover other users when on leave etc.
",Application Development,Personal Markets~ Customer Service Experience,Unknown,Datacom,Datacom,Complete,,unknown,,,,,,,,,,,,
QRisk,system_component,enterprise_application,n/a,Component of TMS,Wholesale Application Delivery,Business Markets~ Financial Markets,Finance (Market Risk)~ Business Markets (Financial Markets),Sungard Asia Pacific Inc.,Sungard Asia Pacific Inc.,Partial,Funds mgmt. cash  reporting to MMc (MMc is KiwibankÕs outsourced investment administration service provider in relation to KiwibankÕs Kiwisaver funds),tier_1,Licence expire Sep 2015,,,,,,,,,,,
RateChanger,?,enterprise_application,?,No information available,Wholesale Application Delivery,Business Markets~ Financial Markets,Business Markets (Financial Markets),IT,IT,,,tier_2,,,,,,,,,,,,
Reuters,actor,enterprise_application,n/a,"Core Treasury system used in the Treasury Dealer room.
 
Reuters provides information and trading services for FX and money markets. Treasury use Reuters/RMDS for market rates.
 
At 4.30pm the Reuters EOD market rates are loaded into Quantum and Qrisk via the rate snapper programme - residing on the EOD batch PC. The rate snapper process ensures the EOD market rates are uploaded into the TMS.",Wholesale Application Delivery,Business Markets~ Financial Markets,Business Markets (Financial Markets),Reuters New Zealand Limited,Reuters New Zealand Limited,Complete,Bank Liquidity Management (incl. Cash Forecasting & Funding)~ News~ rates for pricing.  EIKON front end for Dealers.,tier_1,Internet dependence,,,,,,,,,,,
Rightfax,actor,enterprise_application,n/a,"Application that creates soft copies of incoming faxes. 
 
Part of the Gen-i Managed Telephony Service~ the application sits on the Gen-i Rightfax server in Wellington (with a stanby one in Auckland). Amtel are the Third party vendor who Gen-i will deal with directly in resolving any issues.
 
Faxes come into the Rightfax gateway from a number of sources~ and usually relate to customer requests.
",N/A,COO~ Enterprise Operations ,Unknown,RightFax,RightFax,,Keeping critical Post Shops open for KB transactions,tier_2,,,,,,,,,,,,
Scanning And image Management System (SAMS),system,enterprise_application,Y,"A system for managing the scanning of customer forms/document types such as AP's~ AOA's~ and insurance documents~ into Kiwibank IT systems. Provides scanning and uploading functionality~ verification~ reporting~ and viewing of scanned documents (via In Touch).
 
This system was designed as a replacement for the Star Wars suite of apps - Gedi~ Yoda~ and DocManager~ and to support  insurance document types in support of project Bancassurance.
 
Used primarily Support Services and Business Banking staff. Access to the SAMS application is via the Kiwibank desktop~ and In Touch for the document viewer.
",Application Development,COO~ Enterprise Operations ,Unknown,IT,IT,,New loan documentation for Business  loans accepted prior to disruption,tier_2,,,,,,,,,,,,
SBI Monitor Application,system_component,enterprise_application,n/a,Component of SBI Processing,Application Development,COO~ Payment Services ,Payments Services,IT,IT,,Process Settlement Exceptions,tier_2,,,,,,,,,,,,
SecureMail,system_component,enterprise_application,n/a,"Component of Internet Banking. A secure message system available to customers logged into Internet Banking. It provides a means for the customer to send information and questions directly to a KB staff member within a secure environment. Once the message is received~ Kiwibank commit to responding to the customer within 24 to 48 hours depending on the team and enquiry.
 
The application is built using Sharepoint and K2 workflows. It replaced an old Secure Mail system on 24 May 2011~ and was delivered under project KS0002A",Application Development,Personal Markets~ Customer Service Experience,Unknown,IT,IT,,During crisis~ implement relief package for Business and Retail Customers ,tier_2,,,,,,,,,,,,
SwiftAllianceAccess,actor,enterprise_application,n/a,,Application Development,Business Markets~ Treasury and Intl Operations,Unknown,Swift,Swift,,Collateral Management,tier_1,,,,,,,,,,,,
Tabatha,system,enterprise_application,Y,"Tabatha is a stand-alone database~ user GUI and periphery processing solutions~ that will contain an extract of customer balances~ calculate the frozen account value and generate financial entries to effect a funds freeze in core systems in the event that Open Bank Resolution is invoked. 
",Application Development,Risk Management~ Organisational Resilience,Unknown,IT,IT,,,tier_1,,,,,,,,,,,,
Visitor Management System,system,enterprise_application,N,"The new 2012 Visitor Management Application~ developed internally~ enables Kiwibank to manage visitors to the buildings where the system is installed. It also allows reception staff to manage temporary access cards for staff or contractors who require one.
 
A ÒvisitorÓ refers to a vendor~ guest of any onsite personnel~ service workers~ or anyone who needs to enter the facility for a short duration~ usually not more than one day.
",Application Development,People and Business Services~ Communications,People and Business Services~ Communications,IT,IT,,,tier_2,,,,,,,,,,,,
Voltron,desktop_application,enterprise_application,n/a,"This application is used to reconcile CitiDirect and Travelex transactions.
 
The International team reconcile the Postshop and Travelex transactions using this application developed by Andrew Olds.
This is a .NET application with a SQL database.
 
Files are received from Postlink overnight via FDS. Other files are either emailed or downloaded from the web by The international team~ and loaded into Data warehouse for extraction by the application.
 
* Schedule to be replaced by end of 2012 by the implementation of 'ProActiv' from Broadridge~ as part of the Reconciliations Project~ KB0303. See Payments Delivery for status updates.",Application Development,COO~ Enterprise Operations ,Unknown,IT,IT,,,tier_2,,,,,,,,,,,,
SDT - Core Customer,system,lob_application,Y,"","","","","","","","",tier_1,"","","","","",sor,replace,"","","","",""
In-Touch,system,lob_application,Y,"","","","","","","","Administer changes to Insurance policies, raise premiums, process dishonours, cancellations etc.",tier_1,"","","","In Touch is an application used by Retail, CSC, and now Business Banking as their main client banking tool. It is also part of the Join Kiwibank online application process.  In Touch also has credit card features including Change the credit card limit, Credit Card transfer balance, Unblock a customer's credit or debit card (an extension of functionality to the Fraud Detection system). The Credit Limit Increase form is submitted to Activate KB via the Middleware for processing.","",sod,replace,"","","","",""
ActivateKB,system,lob_application,Y,"","","","","","","","personal Markets Loan Origination, CC,OD,HL",tier_1,"","","","Retail Loan application, decisioning and processing","",sor,refactor,"","","","",""
ActivatePL,system,lob_application,Y,"","","","","","","","",tier_1,"","","","Personal Loan application, decisioning and processing","",sor,replace,"","","","",Not Used
Base 2000,system,core_application,Y,"","","","","","","",Monitoring for Fraud,core,"","","","Credit Card management system hosted by FIS. Includes transaction authorisation, statement generation, card issuance, customer services etc","",sor,keep,"","","","",""
Ultracs,system,core_application,Y,"","","","","","","",Bank Liquidity Management (incl. Cash Forecasting & Funding),core,"","","","Ultracs is kiwibanks core banking system. It processes all transactions, accounts, fees and GL functions and is the authoritive source for essential customer information.","",sor,replace,"","","","",""
Mobile Top Up,external,actor,,,,,,,,,,tier_2,,,,"The Mobile Top-up service enables customers to top-up their Vodafone or Telecom prepay phones or mobile accounts directly from their Kiwibank account, using their mobile phones. Mobile top up is a Vodafone Hotlink service, supported by Vodafone.
To subscribe to mobile top up, the customer supplies their phone number, selects one of their debit cards and supplies a password. Information is passed to the service provider - ETSL.

ETSL (Kiwibank Eftpos service provider) offer a registration service that includes Vodafone and Telecom. Customers subscribe via Internet banking only and subscription information is kept at ETSL.

When making a mobile top up, the customer supplies a password, a dollar amount and selects the account, similar to an Eftpos transaction. The transaction is processed by the Eftpos switch, but without a PIN - the password has been validated by ETSL.",,sod,keep,,,,,
Landonline,actor,enterprise_application,n/a,Provided by LINZ,N/A,Personal Markets~ Specialist Sales,Unknown,NA,N/A,,,tier_2,,,,,,,,,,,,
Quoting Tool,system,lob_application,"","","","","","","","","",tier_2,"","","",Aka DQs (Di’s Quote Service) is an intranet application used by the Priority Banking Team. It is used to determine the rate of change for large Term Deposits. The Priority Banking Team use it to track their quotes which ultimately enables them to collect sales points once or if the quote is accepted. Add to scope; Tier 2,Sharepoint Application,sor,replace,"","","","",""
Special Answers,system,enterprise_application,Y,"","","","","","","","",tier_2,"","","","","","","","","","","",""
