Name,Asset Type,Parent System,Description Use,Technologies,Business Process,Criticality,PACE Layer,TQ FQ Quadrant,Strategy Support,Initiatives,Roadmap 2016,Roadmap 2018,Notes
Western Union - Reconciliation,Actor,," This system is used to reconcile WU transactions with Postshops.
Its an Access Db that compares files from Postshops with those from WU.
 
Staff print reports that lists discrepancies between the two and investigate the anomalies.
 
Files are received from NZ Post via email (Terry Driskel) and from WU via Voyager. ",,Keeping critical Post Shops open for KB transactions,Tier 2,SoR,Replace,,,,,
WestpacAUD,Actor,,This is Westpac's web-based banking system. The Settlements team use it for reconciliation and position keeping.,,,Tier 2,SoR,Keep,,,,,
Xero,Actor,,"Xero is a online business accounting system for small to medium sized businesses. Businesses sign up with Xero to enable Xero to access a nominated account to view their transactions.
KB customer signs up with Xero. Xero forward registration form to KB (email; WinZip encryption). KB operator uses ASP .NET registration application C3PO (Connect 3rd Party Organisations) (http://collaborate/sites/SupportServices/ThirdPartyExports/default.aspx) to register customer's accounts for transaction export service.

Transactions for registered accounts are pushed to Xero following daily processing (average 4am) via encrypted VPN.",,,Tier 2,SoD,Keep,,,,,
Text Banking,LOB Application,,,,,,SoR,Replace,,,,,
Automated Rate ChangeSystem,,,Update TD & Loan Interest rates by the Business into Ultracs; System component; out-of-scope,Sharepoint Application,,,,,,,,,
Bulk VDC Reissue,,,Bulk reissuing of VDC primarily during Large compromised card issues System component; out-of-scope,Sharepoint Application,,,,,,,,,
Core Services,,,Can’t access out-of-scope,Sharepoint Application,,,,,,,,,
CX Insights,,,Can’t access out-of-scope,Sharepoint Application,,,,,,,,,
Datamail,,,Datamail exceptions report; first time Doug heard of it out-of-scope,Sharepoint Application,,,,,,,,,
Direct Channels,,,Can’t access out-of-scope,Sharepoint Application,,,,,,,,,
HL Customer Documentation,,,Can’t access out-of-scope,Sharepoint Application,,,,,,,,,
IT Alerts,,,Major Incidnet and Channel outage notifications IT Operations out-of-scope,Sharepoint Application,,,,,,,,,
IT Payments,,,Can’t access out-of-scope,Sharepoint Application,,,,,,,,,
Kapai,,,Can’t access out-of-scope,Sharepoint Application,,,,,,,,,
Kiwisaver,LOB Application,,"Kiwisaver processing eg payment reversals, early withdrawals; Payment exceptions for failed KiwiSaver transactions are sent to the KiwiSaver Sharepoint site.
 Add to scope; Tier 2",Sharepoint Application,,,,,,,,,
LRM,,,Can’t access out-of-scope,Sharepoint Application,,,,,,,,,
MAC Form,,,MAC request management  Out-of-Scope,Sharepoint Application,,,,,,,,,
Prepaid Card,,,Process Prepaid card exceptions out-of-scope; system component,Sharepoint Application,,,,,,,,,
Procurement,,,Stock management? Procurement inventory Out-of-scope,Sharepoint Application,,,,,,,,,
ProcurementPortal,,,I got access denied but this is a support service so let’s put this out-of-scope for now,Sharepoint Application,,,,,,,,,
Quoting Tool,LOB Application,,"Aka DQs (Di’s Quote Service) is an intranet application used by the Priority Banking Team. It is used to determine the rate of change for large Term Deposits. The Priority Banking Team use it to track their quotes which ultimately enables them to collect sales points once or if the quote is accepted.
 Add to scope; Tier 2",Sharepoint Application,,,,,,,,,
Reloadable,,,"Process reloaded exceptions
 System component of VPS; out-of-scope",Sharepoint Application,,,,,,,,,
Swift Repair Portal,,,International payment exceptions processing; System component; out-of-scope,Sharepoint Application,,,,,,,,,
